index,path,exists,expected_sha256,local_sha256,verification,accepted
0,results/17_chunking/received_chunks_corrupt/chunk_0000.bin,True,598bb94c9ee7bd1bcd03bb0480bd50567fabbd9a4c328c95678fc78a4b09ae97,598bb94c9ee7bd1bcd03bb0480bd50567fabbd9a4c328c95678fc78a4b09ae97,PASS,True
1,results/17_chunking/received_chunks_corrupt/chunk_0001.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
2,results/17_chunking/received_chunks_corrupt/chunk_0002.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,63843bde3269a8f41af99a3201e638266d0de215818a8de63cac0900de0de8f7,FAIL,False
3,results/17_chunking/received_chunks_corrupt/chunk_0003.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
4,results/17_chunking/received_chunks_corrupt/chunk_0004.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
5,results/17_chunking/received_chunks_corrupt/chunk_0005.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
6,results/17_chunking/received_chunks_corrupt/chunk_0006.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
7,results/17_chunking/received_chunks_corrupt/chunk_0007.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
8,results/17_chunking/received_chunks_corrupt/chunk_0008.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
9,results/17_chunking/received_chunks_corrupt/chunk_0009.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
10,results/17_chunking/received_chunks_corrupt/chunk_0010.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
11,results/17_chunking/received_chunks_corrupt/chunk_0011.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
12,results/17_chunking/received_chunks_corrupt/chunk_0012.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
13,results/17_chunking/received_chunks_corrupt/chunk_0013.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
14,results/17_chunking/received_chunks_corrupt/chunk_0014.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
15,results/17_chunking/received_chunks_corrupt/chunk_0015.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
16,results/17_chunking/received_chunks_corrupt/chunk_0016.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
17,results/17_chunking/received_chunks_corrupt/chunk_0017.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
18,results/17_chunking/received_chunks_corrupt/chunk_0018.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
19,results/17_chunking/received_chunks_corrupt/chunk_0019.bin,True,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,PASS,True
